problem,solver_config,result,cpu_time_sec,wall_time_sec,user_time_sec,system_time_sec,cpu_usage_percent,max_rss_kib,max_vm_kib,max_mm_kib,exit_status,container_exit_code,timeout,memout,node_count,basin_size,bdd_iterations,bdd_basin_nodes,bdd_peak_nodes,bdd_gc_runs,active_rules,skipped_rules,retained_variables,pruned_variables,sink_scc_variables_before,sink_scc_variables_after,ternary_recursive_calls,ternary_cache_hits,ternary_cache_misses,variable_order,algorithm,experiment,source_revision,execution_uuid,import_sha256,benchmark_sha256,build_fingerprint,observed_at,scheduler_job_id,cluster,partition,allocation,cpu_limit_sec,wall_limit_sec,memory_limit_mb
BBM/model_001.bnet,cyber/full,completed,53.5078,53.7879,,,,31728,,,,,false,false,321,334118112166981013730526289588500815252232757219228406105152998809035072874894017664385024,228,136,63424,,45,276,45,276,302,45,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_146,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_002.bnet,cyber/full,completed,306.862,307.965,,,,177852,,,,,false,false,139,26173795134370480128,75,193,66607,,123,16,123,16,130,123,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_155,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_003.bnet,cyber/full,completed,0.058897,0.404631,,,,12596,,,,,false,false,20,337920,18,26,143,,10,10,10,10,19,10,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_193,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_004.bnet,cyber/full,timeout,1794.23,1800.01,,,,9169020,,,,,true,false,247,,,,,,,,,,,,,,,,,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_207,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_006.bnet,cyber/full,completed,585.869,588.063,,,,51524,,,,,false,false,68,2306035137059487744,1060,87,103645,,37,31,37,31,62,37,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_62,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_007.bnet,cyber/full,completed,0.111931,0.242518,,,,12596,,,,,false,false,5,16,9,3,27,,5,0,5,0,5,5,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_84,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_008.bnet,cyber/full,completed,0.994711,1.14925,,,,12608,,,,,false,false,28,41824,35,27,340,,22,6,22,6,25,22,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_188,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_009.bnet,cyber/full,completed,0.060043,0.209933,,,,12540,,,,,false,false,73,1152921504606846976,0,1,1,,0,73,0,73,60,0,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_205,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_010.bnet,cyber/full,completed,0.18181,0.37297,,,,12604,,,,,false,false,15,368,17,14,170,,13,2,13,2,13,13,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_86,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_011.bnet,cyber/full,completed,0.324684,0.546076,,,,12604,,,,,false,false,44,72482816,34,49,1346,,33,11,33,11,40,33,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_183,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_012.bnet,cyber/full,completed,0.081658,0.35375,,,,12632,,,,,false,false,101,11992544130577121413085265920,30,18,253,,11,90,11,90,94,11,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_6,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_013.bnet,cyber/full,completed,0.298749,0.42455,,,,12588,,,,,false,false,34,524288,100,15,1499,,29,5,29,5,32,29,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_181,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_014.bnet,cyber/full,completed,0.776423,1.10414,,,,12604,,,,,false,false,61,98205696,27,250,7914,,50,11,50,11,54,50,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_88,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_015.bnet,cyber/full,completed,0.055638,0.251653,,,,12548,,,,,false,false,16,16384,0,1,1,,0,16,0,16,14,0,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_53,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_016.bnet,cyber/full,completed,110.62,111.39,,,,59728,,,,,false,false,118,10456665428930022996967424,122,385,148712,,63,55,63,55,104,63,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_35,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_017.bnet,cyber/full,completed,0.083917,0.396038,,,,12636,,,,,false,false,50,4096,18,31,249,,37,13,37,13,41,37,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_60,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_018.bnet,cyber/full,completed,5.96177,6.14091,,,,12664,,,,,false,false,104,52097640489421897728,120,47,12012,,41,63,41,63,76,41,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_39,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_019.bnet,cyber/full,completed,10.9167,11.2375,,,,12632,,,,,false,false,86,167509206708976091136,140,162,28903,,28,58,28,58,71,28,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_140,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_021.bnet,cyber/full,completed,0.05525,0.217945,,,,12596,,,,,false,false,17,16384,0,1,1,,0,17,0,17,14,0,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_152,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_022.bnet,cyber/full,completed,0.057712,0.468064,,,,12560,,,,,false,false,22,131072,0,1,1,,0,22,0,22,17,0,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_161,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_023.bnet,cyber/full,completed,0.05668,0.190095,,,,12628,,,,,false,false,10,32,5,12,53,,9,1,9,1,9,9,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_209,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_024.bnet,cyber/full,completed,0.098129,0.228615,,,,12556,,,,,false,false,20,5056,36,27,663,,16,4,16,4,16,16,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_81,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_025.bnet,cyber/full,completed,1.15424,1.32317,,,,12488,,,,,false,false,60,90243072,27,234,6225,,50,10,50,10,54,50,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_104,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_027.bnet,cyber/full,completed,0.05634,0.185822,,,,12632,,,,,false,false,26,2048,4,3,14,,3,23,3,23,12,3,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_163,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_028.bnet,cyber/full,completed,0.055815,0.308928,,,,12604,,,,,false,false,18,1024,0,1,1,,0,18,0,18,10,0,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_197,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_029.bnet,cyber/full,completed,0.062397,0.245828,,,,12632,,,,,false,false,11,512,0,1,1,,0,11,0,11,9,0,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_71,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_030.bnet,cyber/full,completed,0.05753,0.427145,,,,12548,,,,,false,false,24,262144,0,1,1,,0,24,0,24,18,0,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_85,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
BBM/model_031.bnet,cyber/full,completed,0.144484,0.290534,,,,12596,,,,,false,false,9,60,7,13,58,,9,0,9,0,9,9,,,,dependency,cyber-full,final-comparison-and-ablation,0f8d662,d2445532-9f87-471f-90a2-8fd5507132d8,f17ce4d8669280a7d5e535ef8777072cb75d85ea54f84a5e1ac35a687afd80ca,915bedc898c4a63fff6d74c9da29c14f21d1a6b0a7877cba4f915509a86b273c,28e3f0e88742b79f23e207717e804594dc9075191db40cb3df24f97fe388f7bf,2026-09-20T11:55:57+00:00,24473809_95,laurel,"gr10497b,gr10609b,gr10672b",p=1:t=14:c=14:m=64000M,1800.0,1800.0,64000
